Club,Expenditure,Income,Balance
Chelsea FC,€208.80m,€83.25m,€-125.55m
Liverpool FC,€192.20m,€41.32m,€-150.88m
Wolverhampton Wanderers,€117.50m,€23.30m,€-94.20m
Fulham FC,€116.50m,€5.35m,€-111.15m
Leicester City,€114.60m,€95.80m,€-18.80m
West Ham United,€100.90m,€13.77m,€-87.14m
Everton FC,€99.80m,€28.65m,€-71.15m
AFC Bournemouth,€91.60m,€20.20m,€-71.40m
Brighton & Hove Albion,€90.62m,€13.62m,€-77.00m
Manchester United,€82.70m,€30.55m,€-52.15m
Arsenal FC,€80.15m,€9.10m,€-71.05m
Manchester City,€78.59m,€57.60m,€-20.99m
Southampton FC,€62.25m,€26.10m,€-36.15m
Newcastle United,€59.75m,€51.05m,€-8.70m
Cardiff City,€51.20m,-,€-51.20m
Huddersfield Town,€50.70m,€12.33m,€-38.37m
Burnley FC,€33.00m,€8.00m,€-25.00m
Watford FC,€30.10m,€51.84m,€21.74m
Crystal Palace,€11.85m,€350k,€-11.50m
Tottenham Hotspur,-,€5.35m,€5.35m
