Club,Games,Points,GoalDiff,GoalsFor,GoalsAgainst,Position,Season
Man City,38,98,72,95,23,1,2018-19
Liverpool,38,97,67,89,22,2,2018-19
Chelsea,38,72,24,63,39,3,2018-19
Tottenham,38,71,28,67,39,4,2018-19
Arsenal,38,70,22,73,51,5,2018-19
Man United,38,66,11,65,54,6,2018-19
Wolves,38,57,1,47,46,7,2018-19
Everton,38,54,8,54,46,8,2018-19
Leicester,38,52,3,51,48,9,2018-19
West Ham,38,52,-3,52,55,10,2018-19
Watford,38,50,-7,52,59,11,2018-19
Crystal Palace,38,49,-2,51,53,12,2018-19
Newcastle,38,45,-6,42,48,13,2018-19
Bournemouth,38,45,-14,56,70,14,2018-19
Burnley,38,40,-23,45,68,15,2018-19
Southampton,38,39,-20,45,65,16,2018-19
Brighton,38,36,-25,35,60,17,2018-19
Cardiff,38,34,-35,34,69,18,2018-19
Fulham,38,26,-47,34,81,19,2018-19
Huddersfield,38,16,-54,22,76,20,2018-19
Liverpool,38,99,52,85,33,1,2019-20
Man City,38,81,67,102,35,2,2019-20
Man United,38,66,30,66,36,3,2019-20
Chelsea,38,66,15,69,54,4,2019-20
Leicester,38,62,26,67,41,5,2019-20
Tottenham,38,59,14,61,47,6,2019-20
Wolves,38,59,11,51,40,7,2019-20
Arsenal,38,56,8,56,48,8,2019-20
Sheffield United,38,54,0,39,39,9,2019-20
Burnley,38,54,-7,43,50,10,2019-20
Southampton,38,52,-9,51,60,11,2019-20
Everton,38,49,-12,44,56,12,2019-20
Newcastle,38,44,-20,38,58,13,2019-20
Crystal Palace,38,43,-19,31,50,14,2019-20
Brighton,38,41,-15,39,54,15,2019-20
West Ham,38,39,-13,49,62,16,2019-20
Aston Villa,38,35,-26,41,67,17,2019-20
Bournemouth,38,34,-25,40,65,18,2019-20
Watford,38,34,-28,36,64,19,2019-20
Norwich,38,21,-49,26,75,20,2019-20
Man City,38,86,51,83,32,1,2020-21
Man United,38,74,29,73,44,2,2020-21
Liverpool,38,69,26,68,42,3,2020-21
Chelsea,38,67,22,58,36,4,2020-21
Leicester,38,66,18,68,50,5,2020-21
West Ham,38,65,15,62,47,6,2020-21
Tottenham,38,62,23,68,45,7,2020-21
Arsenal,38,61,16,55,39,8,2020-21
Leeds,38,59,8,62,54,9,2020-21
Everton,38,59,-1,47,48,10,2020-21
Aston Villa,38,55,9,55,46,11,2020-21
Newcastle,38,45,-16,46,62,12,2020-21
Wolves,38,45,-16,36,52,13,2020-21
Crystal Palace,38,44,-25,41,66,14,2020-21
Southampton,38,43,-21,47,68,15,2020-21
Brighton,38,41,-6,40,46,16,2020-21
Burnley,38,39,-22,33,55,17,2020-21
Fulham,38,28,-26,27,53,18,2020-21
West Brom,38,26,-41,35,76,19,2020-21
Sheffield United,38,23,-43,20,63,20,2020-21
Man City,38,93,73,99,26,1,2021-22
Liverpool,38,92,68,94,26,2,2021-22
Chelsea,38,74,43,76,33,3,2021-22
Tottenham,38,71,29,69,40,4,2021-22
Arsenal,38,69,13,61,48,5,2021-22
Man United,38,58,0,57,57,6,2021-22
West Ham,38,56,9,60,51,7,2021-22
Leicester,38,52,3,62,59,8,2021-22
Brighton,38,51,-2,42,44,9,2021-22
Wolves,38,51,-5,38,43,10,2021-22
Newcastle,38,49,-18,44,62,11,2021-22
Crystal Palace,38,48,4,50,46,12,2021-22
Brentford,38,46,-8,48,56,13,2021-22
Aston Villa,38,45,-2,52,54,14,2021-22
Southampton,38,40,-24,43,67,15,2021-22
Everton,38,39,-23,43,66,16,2021-22
Leeds,38,38,-37,42,79,17,2021-22
Burnley,38,35,-19,34,53,18,2021-22
Watford,38,23,-43,34,77,19,2021-22
Norwich,38,22,-61,23,84,20,2021-22
Man City,38,89,61,94,33,1,2022-23
Arsenal,38,84,45,88,43,2,2022-23
Man United,38,75,15,58,43,3,2022-23
Newcastle,38,71,35,68,33,4,2022-23
Liverpool,38,67,28,75,47,5,2022-23
Brighton,38,62,19,72,53,6,2022-23
Aston Villa,38,61,5,51,46,7,2022-23
Tottenham,38,60,7,70,63,8,2022-23
Brentford,38,59,12,58,46,9,2022-23
Fulham,38,52,2,55,53,10,2022-23
Crystal Palace,38,45,-9,40,49,11,2022-23
Chelsea,38,44,-9,38,47,12,2022-23
Wolves,38,41,-27,31,58,13,2022-23
West Ham,38,40,-13,42,55,14,2022-23
Bournemouth,38,39,-34,37,71,15,2022-23
Nott'm Forest,38,38,-30,38,68,16,2022-23
Everton,38,36,-23,34,57,17,2022-23
Leicester,38,34,-17,51,68,18,2022-23
Leeds,38,31,-30,48,78,19,2022-23
Southampton,38,25,-37,36,73,20,2022-23
