Club,Games,Points,GoalDiff,GoalsFor,GoalsAgainst,Position,Season,Spend_m,Income_m,Net_Spend_m
Manchester City,38,98,72,95,23,1,2018-19,78.59,57.6,-20.99
Liverpool,38,97,67,89,22,2,2018-19,192.2,41.32,-150.88
Chelsea,38,72,24,63,39,3,2018-19,208.8,83.25,-125.55
Tottenham Hotspur,38,71,28,67,39,4,2018-19,0.0,5.35,5.35
Arsenal,38,70,22,73,51,5,2018-19,80.15,9.1,-71.05
Manchester United,38,66,11,65,54,6,2018-19,82.7,30.55,-52.15
Wolverhampton Wanderers,38,57,1,47,46,7,2018-19,117.5,23.3,-94.2
Everton,38,54,8,54,46,8,2018-19,99.8,28.65,-71.15
Leicester City,38,52,3,51,48,9,2018-19,114.6,95.8,-18.8
West Ham United,38,52,-3,52,55,10,2018-19,100.9,13.77,-87.14
Watford,38,50,-7,52,59,11,2018-19,30.1,51.84,21.74
Crystal Palace,38,49,-2,51,53,12,2018-19,11.85,350.0,-11.5
Newcastle United,38,45,-6,42,48,13,2018-19,59.75,51.05,-8.7
AFC Bournemouth,38,45,-14,56,70,14,2018-19,91.6,20.2,-71.4
Burnley,38,40,-23,45,68,15,2018-19,33.0,8.0,-25.0
Southampton,38,39,-20,45,65,16,2018-19,62.25,26.1,-36.15
Brighton & Hove Albion,38,36,-25,35,60,17,2018-19,90.62,13.62,-77.0
Cardiff City,38,34,-35,34,69,18,2018-19,51.2,0.0,-51.2
Fulham,38,26,-47,34,81,19,2018-19,116.5,5.35,-111.15
Huddersfield Town,38,16,-54,22,76,20,2018-19,50.7,12.33,-38.37
Liverpool,38,99,52,85,33,1,2019-20,10.4,48.0,37.6
Manchester City,38,81,67,102,35,2,2019-20,169.82,71.0,-98.82
Manchester United,38,66,30,66,36,3,2019-20,236.8,81.18,-155.62
Chelsea,38,66,15,69,54,4,2019-20,45.0,165.07,120.07
Leicester City,38,62,26,67,41,5,2019-20,104.3,88.5,-15.8
Tottenham Hotspur,38,59,14,61,47,6,2019-20,150.5,64.5,-86.0
Wolverhampton Wanderers,38,59,11,51,40,7,2019-20,116.7,24.1,-92.6
Arsenal,38,56,8,56,48,8,2019-20,160.8,53.65,-107.15
