Season,Club,Spend_m,Income_m,Net_Spend_m
2018-19,Chelsea FC,208.8,83.25,-125.55
2018-19,Liverpool FC,192.2,41.32,-150.88
2018-19,Wolverhampton Wanderers,117.5,23.3,-94.2
2018-19,Fulham FC,116.5,5.35,-111.15
2018-19,Leicester City,114.6,95.8,-18.8
2018-19,West Ham United,100.9,13.77,-87.14
2018-19,Everton FC,99.8,28.65,-71.15
2018-19,AFC Bournemouth,91.6,20.2,-71.4
2018-19,Brighton & Hove Albion,90.62,13.62,-77.0
2018-19,Manchester United,82.7,30.55,-52.15
2018-19,Arsenal FC,80.15,9.1,-71.05
2018-19,Manchester City,78.59,57.6,-20.99
2018-19,Southampton FC,62.25,26.1,-36.15
2018-19,Newcastle United,59.75,51.05,-8.7
2018-19,Cardiff City,51.2,0.0,-51.2
2018-19,Huddersfield Town,50.7,12.33,-38.37
2018-19,Burnley FC,33.0,8.0,-25.0
2018-19,Watford FC,30.1,51.84,21.74
2018-19,Crystal Palace,11.85,350.0,-11.5
2018-19,Tottenham Hotspur,0.0,5.35,5.35
2019-20,Manchester United,236.8,81.18,-155.62
2019-20,Manchester City,169.82,71.0,-98.82
2019-20,Arsenal FC,160.8,53.65,-107.15
2019-20,Aston Villa,159.5,3.0,-156.5
2019-20,Tottenham Hotspur,150.5,64.5,-86.0
2019-20,Everton FC,121.0,87.8,-33.2
2019-20,West Ham United,119.8,55.73,-64.07
2019-20,Wolverhampton Wanderers,116.7,24.1,-92.6
2019-20,Leicester City,104.3,88.5,-15.8
2019-20,Sheffield United,72.5,350.0,-72.15
2019-20,Newcastle United,72.4,35.64,-36.76
2019-20,Brighton & Hove Albion,61.74,8.5,-53.24
2019-20,Southampton FC,61.5,27.3,-34.2
2019-20,Watford FC,56.0,29.4,-26.6
2019-20,AFC Bournemouth,54.91,34.63,-20.29
2019-20,Chelsea FC,45.0,165.07,120.07
2019-20,Burnley FC,23.85,13.55,-10.3
2019-20,Liverpool FC,10.4,48.0,37.6
2019-20,Norwich City,8.82,2.2,-6.62
2019-20,Crystal Palace,7.6,55.38,47.78
2020-21,Chelsea FC,267.2,57.15,-210.05
2020-21,Manchester City,173.4,64.0,-109.4
2020-21,Leeds United,127.8,0.0,-127.8
2020-21,Tottenham Hotspur,110.5,13.3,-97.2
2020-21,Aston Villa,101.35,2.77,-98.58
2020-21,Wolverhampton Wanderers,87.59,79.2,-8.39
2020-21,Arsenal FC,86.0,19.15,-66.85
2020-21,Liverpool FC,84.8,17.2,-67.6
2020-21,Manchester United,83.95,19.5,-64.45
2020-21,Everton FC,74.37,4.43,-69.95
2020-21,Sheffield United,62.7,0.0,-62.7
2020-21,Leicester City,59.4,53.77,-5.63
2020-21,West Ham United,54.7,45.41,-9.29
2020-21,Brighton & Hove Albion,50.1,20.6,-29.5
2020-21,West Bromwich Albion,42.14,8.1,-34.04
2020-21,Newcastle United,38.75,780.0,-37.97
2020-21,Southampton FC,37.3,26.3,-11.0
2020-21,Fulham FC,37.25,0.0,-37.25
2020-21,Crystal Palace,32.4,20.0,-12.4
2020-21,Burnley FC,1.1,2.3,1.2
2021-22,Arsenal FC,167.4,31.4,-136.0
2021-22,Manchester United,142.0,31.1,-110.9
2021-22,Manchester City,138.9,93.8,-45.1
2021-22,Newcastle United,130.5,0.0,-130.5
2021-22,Aston Villa,129.8,127.0,-2.8
2021-22,Chelsea FC,118.0,157.59,39.59
2021-22,Tottenham Hotspur,95.9,34.62,-61.28
2021-22,Liverpool FC,89.0,31.65,-57.35
2021-22,Crystal Palace,85.62,0.0,-85.62
2021-22,Brighton & Hove Albion,75.58,78.8,3.22
2021-22,West Ham United,74.5,4.24,-70.27
2021-22,Leicester City,67.6,4.0,-63.6
2021-22,Norwich City,63.55,38.4,-25.15
2021-22,Southampton FC,63.4,60.35,-3.05
2021-22,Leeds United,59.3,0.0,-59.3
2021-22,Burnley FC,49.4,40.5,-8.9
2021-22,Watford FC,43.5,12.85,-30.65
2021-22,Everton FC,39.5,46.0,6.5
2021-22,Brentford FC,38.2,1.0,-37.2
2021-22,Wolverhampton Wanderers,37.6,31.8,-5.8
2022-23,Chelsea FC,630.25,67.86,-562.39
2022-23,Manchester United,243.15,23.65,-219.5
2022-23,Nottingham Forest,198.35,5.0,-193.35
2022-23,West Ham United,196.6,21.55,-175.05
2022-23,Newcastle United,189.1,14.06,-175.04
2022-23,Arsenal FC,186.4,23.8,-162.6
2022-23,Tottenham Hotspur,179.9,38.75,-141.15
2022-23,Wolverhampton Wanderers,179.51,64.87,-114.64
2022-23,Leeds United,163.89,114.5,-49.39
2022-23,Manchester City,155.0,162.17,7.17
2022-23,Southampton FC,154.21,5.5,-148.71
2022-23,Liverpool FC,140.9,80.1,-60.8
2022-23,Aston Villa,113.0,54.0,-59.0
2022-23,AFC Bournemouth,93.4,0.0,-93.4
2022-23,Everton FC,83.07,103.6,20.53
2022-23,Fulham FC,76.1,25.4,-50.7
2022-23,Brighton & Hove Albion,55.7,138.4,82.7
2022-23,Brentford FC,49.25,3.6,-45.65
2022-23,Leicester City,49.0,81.4,32.4
2022-23,Crystal Palace,46.6,5.46,-41.15
